iso3c,region_id,country_name,income_id,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,other_information_information_system_for_solid_waste_management,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_ppp_rules_and_regulations,other_information_summary_of_key_solid_waste_information_made_available_to_the_public,population_population_number_of_people,special_waste_agricultural_waste_tons_year,special_waste_construction_and_demolition_waste_tons_year,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,special_waste_industrial_waste_tons_year,special_waste_medical_waste_tons_year,total_msw_total_msw_generated_tons_year,waste_collection_coverage_rural_percent_of_geographic_area,waste_collection_coverage_rural_percent_of_households,waste_collection_coverage_rural_percent_of_population,waste_collection_coverage_rural_percent_of_waste,waste_collection_coverage_total_percent_of_geographic_area,waste_collection_coverage_total_percent_of_households,waste_collection_coverage_total_percent_of_population,waste_collection_coverage_total_percent_of_waste,waste_collection_coverage_urban_percent_of_geographic_area,waste_collection_coverage_urban_percent_of_households,waste_collection_coverage_urban_percent_of_population,waste_collection_coverage_urban_percent_of_waste,waste_treatment_anaerobic_digestion_percent,waste_treatment_compost_percent,waste_treatment_controlled_landfill_percent,waste_treatment_incineration_percent,waste_treatment_landfill_unspecified_percent,waste_treatment_open_dump_percent,waste_treatment_other_percent,waste_treatment_recycling_percent,waste_treatment_sanitary_landfill_landfill_gas_system_percent,waste_treatment_unaccounted_for_percent,waste_treatment_waterways_marine_percent,where_where_is_this_data_measured
BHS,LCN,"Bahamas, The",HIC,35400.08203,46,7,7,12,15,13,,,,No,Yes,No,No,No,386838,,,4900,,,,264000,,,,,,,,,,,,,,,,,,,,,,,,
BIH,ECS,Bosnia and Herzegovina,UMC,12671.00781,,,,92.7,4.9,,,,2.4,No,No,No,Yes,Yes,3535961,,252310,1409,8408,4048650,8150,1248718,,,,,,,,73.99,,,,,,,8.55,,,41.75,0.025,9.70E-04,24.12,25.55403,,Other
BLR,ECS,Belarus,UMC,18307.51953,30,8,2,35,5,12,6,2,,Yes,Yes,Yes,Yes,Yes,9489616,,,72000,1336926,,,4280000,,,69.2,,,,93.2,,,,100,,,,76.9,,,7.1,,16,,,,At the disposal sites and at the waste generation source
BLZ,LCN,Belize,UMC,7259.024414,47,8,5,5,16,19,,,,Yes,Yes,Yes,,,359288,,,2300,,,188,101378.8303,,,,,,,85.2,,,,,,,,,,,66,,,34,,,
BMU,NAC,Bermuda,HIC,80982.36719,17,9,6,26,29,13,,,,Yes,Yes,Yes,No,,64798,,,,525,,,82000,,,,,,,100,,,,,,,18.3,12.2,67.6,,,,2,,,,
BOL,LCN,Bolivia,LMC,7984.413574,55.1969112,2.903474903,2.501930502,22.7027027,6.501930502,10.19305019,,,,Yes,Yes,Yes,No,Yes,10724705,,,35392,545183,,4683,2219052,,,5.9,,,,57.6,,,,85.4,,,0.4,0.04,,,55.52,,12.11,31.93,,,Source
BRA,LCN,Brazil,UMC,14596.24609,51.4,2.4,2.9,16.7,13.1,13.5,,,,Yes,Yes,Yes,Yes,,208494896,,45158165,1411900,,,260063,79069584,,,,,,,91.3,90.81,,,,,,0.2,21.88521,,,15.61932,,1.4,53.30547,7.59,,
BRB,LCN,Barbados,HIC,15444.74609,18.3,3.7,4.9,5.7,19.7,17.1,12.1,,18.6,No,Yes,No,No,No,280601,,184957,3800,9410.337,,,174815.4444,,,,,,,90,,,,,,,,90,,,,,9,,1,,Disposal Site
BRN,EAS,Brunei Darussalam,HIC,60865.98828,36,3,4,15,18,16,1,1,6,,Yes,Yes,Yes,Yes,423196,,,7700,,,195,216253.156,,,,,,,,,,,,,,2,,,,,,,70,28,,
BTN,SAS,Bhutan,LMC,6743.016113,58,4,1,7,17,13,,,,No,Yes,Yes,Yes,Yes,686958,,,1457.5,,1476.37,358,111314.05,,,,,,,,,,,,95,,1.39,98,,,,,0.86,,,,Source
BWA,SSF,Botswana,UMC,14126.38965,8.1,,0.1,91.9,,,,,,,,,,,2014866,,,16000,,,2500,210854.4426,,7,,,,,,,,60,,,,,,,,,,1,,99,,
CAF,SSF,Central African Republic,LIC,822.6104736,,,,,,,,,,,,Yes,No,,4515392,,,2700,,,,1105983,,,,,,,,,,,,,,,,,,,,,,,,
CAN,NAC,Canada,HIC,47672.07813,24,6,13,8,47,3,,,,Yes,Yes,Yes,Yes,Yes,35544564,181000000,653255,724000,,1118000000,,25103034,,,,,,,99,,,,,,,4.08,,3,72.33,,,20.59,,,,
CHE,ECS,Switzerland,HIC,68394.28906,29,4,3,29,20,15,,,,,Yes,Yes,,Yes,8574832,,6390000,184000,1200000,1470000,,6079556,,,,,,,99,,,,,,,21,,47,,,,32,,,,
CHI,ECS,Channel Islands,HIC,46672.59375,,,,,,,,,,,Yes,Yes,,,164541,,,,,,,178933,,,,,,,,,,,,,,15.90982659,39.21806358,16.44190751,,,,28.43020231,,,,
CHL,LCN,Chile,HIC,20361.71484,53.3,6.6,2.3,16,12.4,9.4,,,,Yes,No,Yes,Yes,,16829442,,,176000,249755,,,6517000,,,,,,,,95,,,,,,0.44,85.25,0.14,,8.43,0.04,0.37,,5.33,,Other
CHN,EAS,China,UMC,16092.30078,61.2,2.1,1.1,13.1,9.6,9.8,1.3,1.8,,,Yes,Yes,Yes,,1400050048,4000000000,1500000000,7211000,34652400,3270790000,,395081376,,,20,,,,94,,,,,,,3,,29.84,60.16,8.21,,,,,,At Generator level
CIV,SSF,Côte d’Ivoire,LMC,3660.902832,,,,,,,,,,,Yes,Yes,Yes,,20401332,,,22000,,,,4440814.27,,,,,,,,,,,,,,,,,,,,3,,97,,
CMR,SSF,Cameroon,LMC,3262.763672,83.4,0.1,0.7,10.4,2.1,3.3,,,,,,Yes,Yes,,21655716,,,19000,8716.6,,,3270616.59,,,,,,,61.6,,,,,,,,,,,80.3,,0.4,19.3,,,
COD,SSF,"Congo, Dem. Rep.",LIC,1055.572998,,,,,,,,,,,,Yes,No,,78736152,,,,,,,14385226.02,,,,,,,,,,,,,,,,,,,,4.9,,95.1,,
COG,SSF,"Congo, Rep.",LMC,4899.57959,,,,,,,,,,No,No,Yes,No,,2648507,,,,,,,451200,,,,,,,,,,,,,,,,,,,,26.2,,73.8,,
COL,LCN,Colombia,UMC,12523.00684,59.58,2.35,1.1,15.74,8.4,12.83,,,,Yes,,No,Yes,,46406648,,,252200,270146.3,,27704,12150120,,24.1,,,,,80.6,,,97.4,,,,,,,,4,,17.2,89,,,
COM,SSF,Comoros,LIC,2959.540039,50,2,4,22,7,5,,,10,,,Yes,,,777424,,,600,,,,91013,,,,,,,,,,,,,,,,,,,,,,,,
CPV,SSF,Cabo Verde,LMC,6353.783203,,,,,,,,,,Yes,Yes,Yes,,,513979,,,2400,3548.92,,76,132555,,,,,,,70.6,,,,,,,,,,,,,,,,,
CRI,LCN,Costa Rica,UMC,18168.71484,58,1,2,7,21,11,,,,,,Yes,No,,4757575,,800000,35800,,,,1460000,,,,,,,90.4,,,,,,,,23.5,,,9.1,,1.26,67.5,,,
CUB,LCN,Cuba,UMC,12984.71094,68.9,4.6,1.6,3,12.3,9.6,,,,No,No,No,Yes,Yes,11303687,,,,565216,,,2692691.98,,,0.04,,,,76.9,,,,100,,,,30.68,,,42.23,,9.49,,17.6,,Other
CUW,LCN,Curacao,HIC,27503.78906,,,,,,,,,,,Yes,Yes,,,153822,,,,,,,24703.8132,,,,,,,,,,,,,,,,,,,,2,,98,,
CYM,LCN,Cayman Islands,HIC,66207.44531,10.9,3.5,6.2,11.4,31.1,11,,7.3,18.6,,Yes,Yes,,,59172,,,,,,,60000,,,,,,,,,,,,,,,,,,,,21,,79,,
CYP,ECS,Cyprus,HIC,39544.68359,41.47,2.66,3.25,10.07,25.7,14.77,,2.08,,Yes,Yes,Yes,No,Yes,1198575,112018,1377767,18137,173377,,21404,769485.125,,,,,,,,92.42,,,,,,4.62,,,74.49,,,13.31,,7.58,,
CZE,ECS,Czech Republic,HIC,40836.32813,62.3,2.4,8.4,14.9,9.1,2.2,,0.7,,,Yes,Yes,Yes,,10669709,583264,13379041,79581,1162342,,797432,5334854.5,,,,,,,,100,,,,,,4.22,,17.68,52.59,,,25.5,,0.01,,
DEU,ECS,Germany,HIC,53784.78125,30,10,1.4,17.7,24,13,4,,,,Yes,Yes,Yes,Yes,83132800,15011037,275413069,2465085,21812660,,8821344,50627876,,,,,,,,97.55,,,,,,18.23,,31.71,0.21,,,47.83,,2.02,,
DJI,MEA,Djibouti,LMC,6596.775391,,,,,,,,,,,,,,,746221,,,900,,,,114997.249,,,,,,,,,,,,,,,,,,,,,,,,
DMA,LCN,Dominica,UMC,11708.63965,45,8,5,14,12,16,,,,Yes,Yes,Yes,No,,72400,,,,627,,,13176,,,,,,,94,,,,,,,,94,,,,,,,6,,Disposal site
DNK,ECS,Denmark,HIC,57821.19922,12.78,5.78,6.29,23.86,11.57,1.61,0,7.65,30.46,Yes,Yes,Yes,Yes,Yes,5818553,1087281,11402900,168614,1718394,,317413,4910858.5,,,,,,,,100,,,,,,18.99,,52.59,1.13,,,27.27,,0.02,,
DOM,LCN,Dominican Republic,UMC,15328.35254,51,6,3,10,16,10,,4,,No,Yes,No,No,,10528394,,,57000,,,,4063910,,,,,,74.9,,,,,,,,,,,,72.5758314,,8.2,0.1,19.1241686,,Other
DZA,MEA,Algeria,UMC,11826.16504,54.4,1.2,2.8,0.8,9.8,16.9,12.6,1.5,,Yes,Yes,Yes,,Yes,40606052,,11000000,252000,330000,2547000,30000,12378740,,,87.5,,,,,,,,87.5,,,1,2,,,,,8,89,,,Disposal Site
ECU,LCN,Ecuador,UMC,11896.37695,58.67,3.01,1.53,13.78,10.25,11.44,0.45,0.86,,Yes,Yes,No,Yes,Yes,16144368,,,73000,193812,,11292,5297211.143,,63.4,,,,88.4,,,,99.3,,,,,,,,22.28,,12.9,53.22,11.6,,
EGY,MEA,"Egypt, Arab Rep.",LMC,10301.10742,56,4,2,15,10,13,,,,Yes,Yes,No,Yes,,87813256,30000000,4000000,497000,380000,6000000,28300,21000000,,,15,,,,,,,,57.5,,,7,,,7,84,,12.5,,,,Disposal Site
ERI,SSF,Eritrea,LIC,1714.552368,,,,,,,,,,,,,,,4474690,,,3800,,,,726957.37,,,,,,,,,,,,,,,,,,,,,,,,
ESP,ECS,Spain,HIC,40985.55859,49,8,3,14,15,9,,2,,No,Yes,Yes,Yes,Yes,47076780,8058640,52155411,1202597,2984518,,2990346,22408548,,,,,,,,100,,,,,,16.45,,11.62,55.09,,,16.84,,,,
EST,ECS,Estonia,HIC,36956.28516,36.7,8.3,2.6,15.9,17.5,18.6,,0.4,,Yes,Yes,Yes,No,Yes,1326590,149633,18094986,34312,10410321,,1750157,489511.7188,,,,,,,,86.89,,,,,,3.6,7.4,51.37,,,,24.74,,12.89,,
ETH,SSF,Ethiopia,LIC,1779.083984,87.6,0.8,1.2,4.4,3.8,2.3,,,,,Yes,Yes,,,99873032,,,49000,,,,6532786.97,,,,,,,,50,,,,,,,,,,43,,,,57,,
FIN,ECS,Finland,HIC,48814.30859,35.88,9.24,1.7,13.13,37.83,1.45,,0.73,,Yes,Yes,Yes,Yes,Yes,5520314,1079091,84662998,212954,1998693,,1006713,3124497.75,,,,,,,,100,,,,,,12.45,,47.92,11.5,,,28.12,,0.01,,
FJI,EAS,Fiji,UMC,10787.68555,33.2,4.1,1.9,3.5,12.5,7.5,0.1,,37.2,,Yes,Yes,Yes,,867086,,,4600,,,316.16,189389.594,,,,,,,,,,,,,,,,,52,,,5.45,,42.55,,Household waste collected
FRA,ECS,France,HIC,46110.18359,32,10,3,26,20,9,,,,,Yes,Yes,Yes,,67059888,11304163,236301207,2218682,10783405,,4867183,36748820,,,,,,,,100,,,,,,17.26,,34.7,25.76,,,22.26,,0.02,,
FRO,ECS,Faeroe Islands,HIC,44402.87891,,,,,,,,,,,,Yes,No,,48842,,,,,,,61000,,,,,,,,,,,,,,,,,,,,67,,33,,
FSM,EAS,"Micronesia, Fed. Sts.",LMC,3440.064209,23.83,7.07,16.73,9.32,13.3,26.17,3.58,,,,Yes,Yes,None,,104937,,,200,,,73.47,26039.57,,,,,,,8,,,,35,,,,,,,,,,,,,
GAB,SSF,Gabon,UMC,18514.65234,,,,,,,,,,,,,Yes,,1086137,,,14000,,,,238102.31,,,3.8,,,,23.6,,,,28.5,,,,,,,,,,,,,
GBR,ECS,United Kingdom,HIC,46290.12109,16.7,2.2,3.5,28.2,18.9,20.2,,7.6,2.7,Yes,Yes,Yes,No,,66460344,10365788,156803699,3584126,5755258,,4218205,30771140,,,,,,,,97.43,,,,,,16.23,,31.38,22.568,,,27.25,,2.572,,
GEO,ECS,Georgia,LMC,12605.13965,39,3,5,16,34,3,,,,No,No,Yes,,,3717100,,,21000,,,,800000,,,,,,,60,,,,,,,,,,,,,,,,,
GHA,SSF,Ghana,LMC,3092.596924,67,0,1,25,3,4,,,,,Yes,Yes,Yes,,21542008,,,39000,,,,3538274.978,,,,,,,,,,,,,,,,,,,,,,,,
GIB,ECS,Gibraltar,HIC,43711.80078,24.57,4.42,4.37,14.38,33.65,15.86,,,,,Yes,Yes,Yes,Yes,33623,,30000,201.44,58995.04,,,16954,,,,,,,,,,,,,,,,,,,,,,,,
GIN,SSF,Guinea,LIC,1622.776855,58,1,1,27,9,4,,,,,,Yes,Yes,,8132552,,,8000,,,,596911,,,,,,,,,,,,,,,,,,,,5,,95,,
GMB,SSF,"Gambia, The",LIC,2180.855713,35,1.9,2.1,51.4,9.7,,,,,,Yes,Yes,No,,1311349,,,2200,,,,193440.54,,,,,,,,,,,,,,,,,,,,,,,,
GNB,SSF,Guinea-Bissau,LIC,1800.068604,,,,,,,,,,,,,,,1770526,,,1000,,,,289514,,,,,,,,,,,,,,,,,,,,,,,,
GNQ,SSF,Equatorial Guinea,UMC,24827.07227,,,,,,,,,,,,,,,1221490,,,,,,,198443.06,,,,,,,,,,,,,,,,,,,,,,,,
GRC,ECS,Greece,HIC,30465.44922,40,3,3,9,29,14,2,,,No,Yes,Yes,Yes,Yes,10716322,575225,59985396,188460,221041,,251623,5615352.5,100,,,,100,,,,100,,,,,,,,80,,1,19,,,,
GRD,LCN,Grenada,UMC,13207.71191,27.1,3.1,2.4,36.5,13.6,16.4,0.9,,,Yes,Yes,Yes,Yes,,105481,,,800,,,,29536.11394,,,,,,98.3,,,,,,,,0.2,98.3,,,,1.5,,,,,Disposal Site
GRL,ECS,Greenland,HIC,43948.5625,42.8,7.1,2,33.4,11.4,2.4,,1,,,,Yes,No,,56905,,,,730,,,50000,,,,,,,,,,,,,,,,40,60,,,,,,,
GTM,LCN,Guatemala,UMC,8125.364746,37.71449118,4.39183558,,18.01847364,16.04670215,17.29080875,,,6.537688691,,,No,Yes,,16252429,,,55000,10051,,818.6,2756740.971,,,,,,,77.7,,,,,,,,9.6,,,69.8,,,15.4,5.2,,
GUM,EAS,Guam,HIC,59074.94141,27.3,4.6,9,8.7,28.5,12.4,3.1,6.4,,,Yes,Yes,Yes,Yes,159973,,,,,,,141500,,,100,,,,100,,,,100,,,,,,,,,17.85,64,18.15,,
GUY,LCN,Guyana,UMC,9812.089844,50.1,4.7,4.2,12.1,10.7,14.2,1.5,2.5,,No,Yes,No,No,No,746556,,,5000,741.78,,,179251.5,,,,,,,89,,,,,,,,,,61.37,,,0.54,,38.09,,Other
HKG,EAS,"Hong Kong SAR, China",HIC,57215.96875,35,3,2,14,22,21,,3,,Yes,Yes,Yes,Yes,Yes,7305700,,1533000,70000,54812,,2268,5679816.465,,,,,,,100,,,,,,,,,,66,,,34,,,,
HND,LCN,Honduras,LMC,5395.61377,57.9,1.27,2.11,6.62,17.36,14.41,0.33,,,No,,Yes,Yes,,9112867,,,1700,253.14,,,2162027.696,,,,,,,64.6,,,,,,,,59.9,,,15,,,11.3,13.8,,
HRV,ECS,Croatia,HIC,28829.35547,30.9,3.7,2.1,11.5,23.2,22.9,,,5.7,Yes,Yes,Yes,Yes,,4067500,395664,805354,58078,130326,,56814,1810037.5,,,,,,,,97.76,,,,,,1.69,,,79.75,,,16.32,,2.24,,
HTI,LCN,Haiti,LIC,2952.618652,61.3,1.6,2.5,16.8,4.1,12.7,,1,,No,No,No,No,No,10847334,,,6000,,,,2309852.455,,0.4,,,,12.4,,,,,23.8,,,,9.94,,,,,,,90.06,,Source
HUN,ECS,Hungary,HIC,32643.49023,22.5,3.5,1.8,45.9,13.4,13,,,,Yes,Yes,Yes,Yes,Yes,9769949,699238,7605276,50066,596554,,489182,3780970.25,,,,,,,,99.94,,,,,,6.22,,14.14,53.64,,,25.94,,0.06,,
IDN,EAS,Indonesia,LMC,10531.19824,53.8,2.5,1.8,12.9,14.9,14,,,,,Yes,Yes,Yes,,261115456,122000000,,1274000,23000000,,82125,65200000,,,,,,,45,,,,,,,,,,69,10,14,7,,,,
IMN,ECS,Isle of Man,HIC,44203.62109,,,,,,,,,,Yes,Yes,Yes,,Yes,80759,,122965,,,48783,,50551,,,,,,,,96,,,,,,,,25,25,,,50,,,,
IND,SAS,India,LMC,6496.807617,,,,,,,,,,No,Yes,Yes,Yes,Yes,1352617344,,27500000,1700000,7467000,,180784.5,189750000,,,,,,,,,,,,78.19,,18,,,,77,,5,,,,
IRL,ECS,Ireland,HIC,83388.71875,16.6,8.5,3.7,25.8,25,12.4,,1.9,6.1,,Yes,Yes,Yes,Yes,4867316,554285,7898378,212874,482907,,776112,2910655,,,,,,,,92.04,,,,,,6,41,17,,,2,33,,1,,
IRN,MEA,"Iran, Islamic Rep.",UMC,14535.8623,72.9,1.9,2.3,5,7.3,8.5,1.1,1.3,,No,Yes,Yes,Yes,No,80277424,16049000,80000000,630000,8000000,30000000,1609650,17885000,,,100,,,,100,,,,100,,0.3,12,10,0.4,,72,,5,,0.3,,Source
IRQ,MEA,Iraq,UMC,10310.67969,68.7,2.3,0.98,6,9.6,5.29,5.09,0.85,0.93,No,No,No,,,36115648,,,221000,20622,,,13140000,,,,,,,76,,,,,,,,,,,100,,,,,,Source
ISL,ECS,Iceland,HIC,55274.1875,10,,,,38,9,,29,14,,Yes,Yes,No,Yes,343400,5000,1000,7600,7000,10000,,225270.4063,,,,,,,100,,,,,,,2.86,,1.9,30.29,,9.14,55.81,,,,
ISR,MEA,Israel,HIC,37687.74609,34,3,3,16,24,18,,,2,,Yes,Yes,,Yes,8380100,,7000000,120000,321000,,,5400000,,,,,,,,,,,,,,,,,75,,,25,,,,
ITA,ECS,Italy,HIC,42419.72266,34.4,7.6,4.3,15.4,22.8,11.6,,3.8,,Yes,Yes,Yes,No,,60297396,6921585,61938678,2800026,8923548,,16071024,30088400,,,,,,,,88.92,,,,,,17.6,,19,26.48,,,25.9,,11.02,,
JAM,LCN,Jamaica,UMC,9550.810547,62.22,2.81,2.38,5.13,14.73,12.2,,0.53,,Yes,Yes,Yes,Yes,Yes,2881355,,,17000,10000,,206.58,1051694.575,,28,,,,63.99,76,,,67,,,,,64,,,,29,,,7,,Source
JOR,MEA,Jordan,UMC,10413.17578,50,2,1.5,15.5,15,16,,,,,No,Yes,Yes,,8413464,4000000,,43000,1230441,45000,4000,2529997,,,70,,,,,,,,90,,,,,,48,45,,7,,,,Disposal Site
JPN,EAS,Japan,HIC,41309.95703,36,5,4,6,33,11,1,4,,Yes,No,Yes,Yes,,126529104,35109000,72690000,518978,3600000,392840000,320000,42720000,,,,,,,99.9,,,,,,0.1,0.4,1.1,80.2,,,13.3,4.9,,,,Source
KAZ,ECS,Kazakhstan,UMC,22702.58008,30,5,3,7,25,25,,2.5,,No,Yes,Yes,Yes,No,16791424,,,147000,,,,4659740,,,25,,,,77,,,,,,,,,,,60.1,,2.92,,36.98,,Disposal site
KEN,SSF,Kenya,LMC,3329.854492,57,3,1,9,11.3,18.7,,,,,,Yes,,,41350152,,,17350,,,909182,5595099,,,,,,,40,40,,,,,,,,,,,,8,,92,,
KGZ,ECS,Kyrgyz Republic,LMC,4805.141113,,,,,,,,,,No,Yes,Yes,Yes,,5956900,17900,3600,7200,4771346,,,1113300,,,,,,,,,,,,,,,,,,100,,,,,,Disposal Site
KHM,EAS,Cambodia,LMC,3364.278809,66.6,2.6,2,10.4,4,8.6,,5.8,,No,Yes,Yes,Yes,,15270790,,,14000,,,147.09,1089000,,,,,,,,,,,50,,,,,,,,17.5,,,82.5,,
KIR,EAS,Kiribati,LMC,2249.768555,43.6,5.5,10,9.3,10.9,16.5,4.2,,,,Yes,Yes,No,,114395,,,100,,766.5,16.22,35723.8275,,,,,,,54,,,,100,,,,,,,,,,,,,
KNA,LCN,St. Kitts and Nevis,HIC,25569.35742,27.2,8.1,8.8,12.2,20.5,23.2,,,,Yes,Yes,Yes,No,Yes,54288,,,700,,,,32892.14,,,,,,,95,,,,,,,,100,,,,,,,,,Disposal site
KOR,EAS,"Korea, Rep.",HIC,42105.28125,30,2.5,2.6,,41,24.3,,,,Yes,Yes,Yes,Yes,,51606632,,68119600,570635,,39810000,,20452776,,,,,,,99.92,99.9,,,,,,1,,25,16,,,58,,,,
KWT,MEA,Kuwait,HIC,58810.30078,45,4,2,8,20,20,,1,1,No,Yes,Yes,,,2998083,,1149000,67000,203000,7000,33000,1750000,,,,,,,100,,,,,,,,,,,100,,,,,,Disposal Site
